Item_id,Category,Item_Name,Price,description,image,available,image_width,image_height,image_size_kb
152,Breakfast,Ghee Masala Dosai,,"morning, evening, night",https://ts3.mm.bing.net/th?id=OIP.XuPgH9O_OLwAEuQuQPTyuQAAAA&pid=15.1,True,400,400,53.4
153,Breakfast,Paper Roast Dosai,,"morning, evening, night",https://ts4.mm.bing.net/th?id=OIP.jNNWV3vZyBT0bACVoS9AlwAAAA&pid=15.1,True,464,464,15.4
154,Lunch,Chicken 65,,"noon, evening, night",https://tasteasianfood.com/wp-content/uploads/2022/11/chicken-65-recipe-square-480x480.jpeg,True,480,480,75.4
155,Lunch,Mutton Sukka,,"noon, night",http://hasanfoodcatering.in/wp-content/uploads/2024/01/MUTTON-SUKKA.png,True,450,350,94.1
156,Lunch,Butter Chicken,,"noon, night",https://ts1.mm.bing.net/th?id=OIP.QQLjswYhkCZemRyvqftt4QAAAA&pid=15.1,True,474,474,65.0
157,Lunch,Paneer Butter Masala,,"noon, night",https://nishkitchen.com/wp-content/uploads/2015/12/PANEER-BUTTER-MASALA-1b-480x480.jpg,True,480,480,48.2
158,Snacks,Gobi Manchurian,,evening,https://ts1.mm.bing.net/th?id=OIP.uxLMi4bsqp443jw3cxsHewHaHa&pid=15.1,True,474,474,57.9
159,Snacks,Chicken Manchurian,,"evening, night",https://ts3.mm.bing.net/th?id=OIP.kGm_QiuM967ix0wnqx9xNgAAAA&pid=15.1,True,474,474,64.6
160,Dinner,Mutton Keema Parotta,,"evening, night",https://www.licious.in/blog/wp-content/uploads/2022/04/Keema-Paratha_24241-min-1-360x360.jpg,True,360,360,29.3
161,Lunch,Nasi Briyani,,"noon, night",https://l450v.alamy.com/450v/der2ky/nasi-briyani-ayam-chicken-biryani-malaysian-style-malaysia-food-der2ky.jpg,True,450,319,92.2
162,Lunch,Nasi Kandar Curry Set,,noon,https://ikanmas.in/wp-content/uploads/2021/09/nasikandar-400x400.jpg,True,400,400,43.5
163,Dinner,Tandoori Chicken,,"evening, night",https://ts2.mm.bing.net/th?id=OIP.V-EsQ-O0WeQu0VSsxCxvzQHaHa&pid=15.1,True,474,474,57.7
164,Breakfast,Poori Masala Set,,morning,https://ts4.mm.bing.net/th?id=OIP.Rjc0qN59rZuOC7x2MUR73QAAAA&pid=15.1,True,474,474,50.3
165,Lunch,Chicken Keema Chapati,,"noon, night",https://ts3.mm.bing.net/th?id=OIP.Kp1XYmKPQomu_bUgZCWcuAHaHa&pid=15.1,True,474,474,49.6
166,Lunch,Nasi Lemak Set,,"morning, noon",https://ts2.mm.bing.net/th?id=OIP.DBO9Nu7-tdg2W1KotqgDAQAAAA&pid=15.1,True,400,400,48.8
167,Snacks,Mee Goreng Mamak,,"noon, evening, night",https://munchmalaysia.com/wp-content/uploads/2023/04/Malaysian-mee-goreng-mamak-recipe.jpg,True,479,359,32.7
